idx,vdwm,rbp_trend,bl_growth,reward_tib_1y,reward_tib_2y,reward_tib_5y,reward_tib_7y,reward_tib_10y,pledge_1y,pledge_2y,pledge_5y,pledge_7y,pledge_10y,issuance_1y,issuance_2y,issuance_5y,issuance_7y,issuance_10y,roi_1y,roi_2y,roi_5y,roi_7y,roi_10y,minted_1y,minted_2y,minted_5y,minted_7y,minted_10y
0,1.0,-0.20,0.00,0.03292724,0.03573308,0.04674826,0.05658070,0.07610854,0.08910542,0.09239806,0.10277729,0.11056490,0.12452835,59938.37,52036.74,34855.80,26999.64,18594.86,421.7853,441.4158,519.1687,584.1055,697.5983,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
1,1.0,-0.20,0.25,0.03292724,0.03573308,0.04674826,0.05658070,0.07610854,0.07540024,0.06717470,0.05332168,0.05113393,0.05583141,59938.37,52036.74,34855.80,26999.64,18594.86,498.4514,607.1625,1000.6952,1262.9885,1555.9479,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
2,1.0,-0.20,0.50,0.03292724,0.03573308,0.04674826,0.05658070,0.07610854,0.06626346,0.05347312,0.03890453,0.03976433,0.04890245,59938.37,52036.74,34855.80,26999.64,18594.86,567.1807,762.7376,1371.5307,1624.1079,1776.4092,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
3,1.0,-0.20,0.75,0.03292724,0.03573308,0.04674826,0.05658070,0.07610854,0.05973718,0.04521150,0.03369943,0.03685905,0.04785352,59938.37,52036.74,34855.80,26999.64,18594.86,629.1451,902.1147,1583.3727,1752.1226,1815.3473,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
4,1.0,-0.20,1.00,0.03292724,0.03573308,0.04674826,0.05658070,0.07610854,0.05484247,0.03984939,0.03151640,0.03595046,0.04764299,59938.37,52036.74,34855.80,26999.64,18594.86,685.2965,1023.5026,1693.0472,1796.4048,1823.3691,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
5,1.0,-0.10,0.00,0.02990252,0.02934654,0.02798568,0.02724264,0.02627649,0.08723522,0.08847560,0.09133671,0.09266990,0.09403578,61236.45,54088.09,37601.75,29648.75,20847.41,391.2517,378.5940,349.7282,335.5449,318.9440,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
6,1.0,-0.10,0.25,0.02990252,0.02934654,0.02798568,0.02724264,0.02627649,0.07352599,0.06322735,0.04168880,0.03289019,0.02475644,61236.45,54088.09,37601.75,29648.75,20847.41,464.2022,529.7759,766.2257,945.4162,1211.4890,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
7,1.0,-0.10,0.50,0.02990252,0.02934654,0.02798568,0.02724264,0.02627649,0.06438651,0.04951226,0.02721558,0.02145387,0.01776873,61236.45,54088.09,37601.75,29648.75,20847.41,530.0944,676.5260,1173.7037,1449.3849,1687.9171,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
8,1.0,-0.10,0.75,0.02990252,0.02934654,0.02798568,0.02724264,0.02627649,0.05785830,0.04124249,0.02199024,0.01853154,0.01671091,61236.45,54088.09,37601.75,29648.75,20847.41,589.9054,812.1801,1452.6000,1677.9461,1794.7643,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
9,1.0,-0.10,1.00,0.02990252,0.02934654,0.02798568,0.02724264,0.02627649,0.05296215,0.03587509,0.01979873,0.01761761,0.01649860,61236.45,54088.09,37601.75,29648.75,20847.41,644.4400,933.6932,1613.3881,1764.9905,1817.8603,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
10,1.0,-0.05,0.00,0.02862768,0.02687431,0.02237802,0.01989659,0.01677957,0.08644826,0.08696560,0.08799665,0.08835168,0.08854511,61882.73,55187.94,39400.29,31615.76,22860.01,377.9812,352.7200,290.2658,257.0420,216.2999,425716105.97,447052632.93,498309140.10,524114835.95,553660461.38
11,1.0,-0.05,0.25,0.02862768,0.02687431,0.02237802,0.01989659,0.01677957,0.07273707,0.06170471,0.03823799,0.02835618,0.01886863,61882.73,55187.94,39400.29,31615.76,22860.01,449.2320,497.1178,667.9854,800.8872,1015.0340,425716105.97,447052632.93,498309140.10,524114835.95,553660461.38
12,1.0,-0.05,0.50,0.02862768,0.02687431,0.02237802,0.01989659,0.01677957,0.06359627,0.04798274,0.02373249,0.01687858,0.01184087,61882.73,55187.94,39400.29,31615.76,22860.01,513.8008,639.2821,1076.2637,1345.4984,1617.4739,425716105.97,447052632.93,498309140.10,524114835.95,553660461.38
13,1.0,-0.05,0.75,0.02862768,0.02687431,0.02237802,0.01989659,0.01677957,0.05706713,0.03970882,0.01849549,0.01394569,0.01077699,61882.73,55187.94,39400.29,31615.76,22860.01,572.5855,772.4859,1381.0074,1628.4670,1777.1480,425716105.97,447052632.93,498309140.10,524114835.95,553660461.38
14,1.0,-0.05,1.00,0.02862768,0.02687431,0.02237802,0.01989659,0.01677957,0.05217028,0.03433873,0.01629909,0.01302847,0.01056346,61882.73,55187.94,39400.29,31615.76,22860.01,626.3301,893.2917,1567.1069,1743.1134,1813.0713,425716105.97,447052632.93,498309140.10,524114835.95,553660461.38
15,1.0,0.00,0.00,0.02747954,0.02475843,0.01824392,0.01498346,0.01127668,0.08574029,0.08567871,0.08559278,0.08559284,0.08564536,62527.22,56335.58,41512.41,34093.50,25659.07,365.8178,329.8302,243.2884,199.8089,150.2857,425839007.94,447506550.45,500607685.12,528098489.75,560552560.40
16,1.0,0.00,0.25,0.02747954,0.02475843,0.01824392,0.01498346,0.01127668,0.07202718,0.06040502,0.03571314,0.02535087,0.01548726,62527.22,56335.58,41512.41,34093.50,25659.07,435.4651,467.8324,583.0831,674.6203,831.0878,425839007.94,447506550.45,500607685.12,528098489.75,560552560.40
17,1.0,0.00,0.50,0.02747954,0.02475843,0.01824392,0.01498346,0.01127668,0.06288510,0.04667611,0.02117237,0.01382612,0.00841092,62527.22,56335.58,41512.41,34093.50,25659.07,498.7719,605.4367,983.5331,1236.9496,1530.3041,425839007.94,447506550.45,500607685.12,528098489.75,560552560.40
18,1.0,0.00,0.75,0.02747954,0.02475843,0.01824392,0.01498346,0.01127668,0.05635504,0.03839800,0.01592265,0.01088118,0.00733969,62527.22,56335.58,41512.41,34093.50,25659.07,556.5664,735.9609,1307.8058,1571.7233,1753.6543,425839007.94,447506550.45,500607685.12,528098489.75,560552560.40
19,1.0,0.00,1.00,0.02747954,0.02475843,0.01824392,0.01498346,0.01127668,0.05145750,0.03302519,0.01372090,0.00996019,0.00712468,62527.22,56335.58,41512.41,34093.50,25659.07,609.5383,855.6931,1517.6649,1717.0562,1806.5755,425839007.94,447506550.45,500607685.12,528098489.75,560552560.40
20,1.0,0.05,0.00,0.02644001,0.02293265,0.01513547,0.01159541,0.00791509,0.08510003,0.08457351,0.08384555,0.08382803,0.08418640,63169.97,57529.75,43954.37,37125.38,29336.50,354.6273,309.4996,206.0422,157.8837,107.3134,425959684.30,447965257.53,503105630.12,532604069.11,568753779.40
21,1.0,0.05,0.25,0.02644001,0.02293265,0.01513547,0.01159541,0.00791509,0.07138503,0.05928689,0.03383443,0.02330731,0.01345520,63169.97,57529.75,43954.37,37125.38,29336.50,422.7609,441.5052,510.5958,567.8508,671.4376,425959684.30,447965257.53,503105630.12,532604069.11,568753779.40
22,1.0,0.05,0.50,0.02644001,0.02293265,0.01513547,0.01159541,0.00791509,0.06224169,0.04555095,0.01925534,0.01172923,0.00632106,63169.97,57529.75,43954.37,37125.38,29336.50,484.8647,574.6416,897.1911,1128.3837,1429.2421,425959684.30,447965257.53,503105630.12,532604069.11,568753779.40
23,1.0,0.05,0.75,0.02644001,0.02293265,0.01513547,0.01159541,0.00791509,0.05571074,0.03726861,0.01399178,0.00877067,0.00524107,63169.97,57529.75,43954.37,37125.38,29336.50,541.7052,702.3462,1234.7052,1509.0148,1723.7554,425959684.30,447965257.53,503105630.12,532604069.11,568753779.40
24,1.0,0.05,1.00,0.02644001,0.02293265,0.01513547,0.01159541,0.00791509,0.05081252,0.03189306,0.01178423,0.00784542,0.00502431,63169.97,57529.75,43954.37,37125.38,29336.50,593.9244,820.7263,1466.0036,1686.9810,1798.1229,425959684.30,447965257.53,503105630.12,532604069.11,568753779.40
25,1.0,0.10,0.00,0.02549430,0.02134542,0.01275354,0.00918590,0.00574321,0.08451825,0.08361777,0.08256823,0.08271679,0.08357601,63810.99,58769.20,46736.25,40731.47,33895.43,344.2967,291.3711,176.3023,126.7559,78.4356,426078288.04,448428641.60,505805745.21,537645831.58,578296039.20
26,1.0,0.10,0.25,0.02549430,0.02134542,0.01275354,0.00918590,0.00574321,0.07080139,0.05831809,0.03241499,0.02188414,0.01217799,63810.99,58769.20,46736.25,40731.47,33895.43,410.9998,417.7743,449.0814,479.1069,538.2937,426078288.04,448428641.60,505805745.21,537645831.58,578296039.20
27,1.0,0.10,0.50,0.02549430,0.02134542,0.01275354,0.00918590,0.00574321,0.06165681,0.04457506,0.01779447,0.01024639,0.00497659,63810.99,58769.20,46736.25,40731.47,33895.43,471.9569,546.5792,818.0615,1023.2720,1317.2333,426078288.04,448428641.60,505805745.21,537645831.58,578296039.20
28,1.0,0.10,0.75,0.02549430,0.02134542,0.01275354,0.00918590,0.00574321,0.05512497,0.03628844,0.01251595,0.00727258,0.00388642,63810.99,58769.20,46736.25,40731.47,33895.43,527.8798,671.3928,1163.0736,1441.6950,1686.7269,426078288.04,448428641.60,505805745.21,537645831.58,578296039.20
29,1.0,0.10,1.00,0.02549430,0.02134542,0.01275354,0.00918590,0.00574321,0.05022609,0.03091011,0.01030213,0.00634256,0.00366762,63810.99,58769.20,46736.25,40731.47,33895.43,579.3673,788.2146,1413.0063,1653.0935,1787.3551,426078288.04,448428641.60,505805745.21,537645831.58,578296039.20
30,2.0,-0.20,0.00,0.01796358,0.01949431,0.02550369,0.03086781,0.04152130,0.07975314,0.08224883,0.08949943,0.09449435,0.10291133,59938.37,52036.74,34855.80,26999.64,18594.86,257.0901,270.5319,325.2542,372.8553,460.5195,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
31,2.0,-0.20,0.25,0.01796358,0.01949431,0.02550369,0.03086781,0.04152130,0.06604796,0.05702547,0.04004382,0.03506338,0.03421438,59938.37,52036.74,34855.80,26999.64,18594.86,310.4372,390.1929,726.9552,1004.8295,1385.1680,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
32,2.0,-0.20,0.50,0.01796358,0.01949431,0.02550369,0.03086781,0.04152130,0.05691117,0.04332389,0.02562667,0.02369378,0.02728542,59938.37,52036.74,34855.80,26999.64,18594.86,360.2762,513.5949,1135.9286,1487.0028,1736.9226,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
33,2.0,-0.20,0.75,0.01796358,0.01949431,0.02550369,0.03086781,0.04152130,0.05038489,0.03506228,0.02042157,0.02078849,0.02623650,59938.37,52036.74,34855.80,26999.64,18594.86,406.9422,634.6118,1425.4568,1694.8183,1806.3643,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
34,2.0,-0.20,1.00,0.01796358,0.01949431,0.02550369,0.03086781,0.04152130,0.04549019,0.02970017,0.01823854,0.01987990,0.02602597,59938.37,52036.74,34855.80,26999.64,18594.86,450.7289,749.1854,1596.0742,1772.2784,1820.9762,425332181.71,445720617.38,492551377.64,514989970.83,539643130.91
35,2.0,-0.10,0.00,0.01631343,0.01601012,0.01526769,0.01486232,0.01433524,0.07874204,0.08014033,0.08338797,0.08493221,0.08657250,61236.45,54088.09,37601.75,29648.75,20847.41,236.4716,228.0256,208.9826,199.7352,189.0015,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
36,2.0,-0.10,0.25,0.01631343,0.01601012,0.01526769,0.01486232,0.01433524,0.06503281,0.05489209,0.03374006,0.02515249,0.01729315,61236.45,54088.09,37601.75,29648.75,20847.41,286.3209,332.9086,516.4970,674.4440,946.1739,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
37,2.0,-0.10,0.50,0.01631343,0.01601012,0.01526769,0.01486232,0.01433524,0.05589333,0.04117699,0.01926684,0.01371617,0.01030545,61236.45,54088.09,37601.75,29648.75,20847.41,333.1391,443.7927,904.4887,1236.7842,1587.7354,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
38,2.0,-0.10,0.75,0.01631343,0.01601012,0.01526769,0.01486232,0.01433524,0.04936512,0.03290722,0.01404150,0.01079384,0.00924763,61236.45,54088.09,37601.75,29648.75,20847.41,377.1945,555.3202,1241.0808,1571.6325,1769.3538,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
39,2.0,-0.10,1.00,0.01631343,0.01601012,0.01526769,0.01486232,0.01433524,0.04446897,0.02753982,0.01184998,0.00987991,0.00903532,61236.45,54088.09,37601.75,29648.75,20847.41,418.7247,663.5499,1470.6044,1717.0136,1810.9303,425590804.80,446603610.20,496205082.35,520626886.36,547977419.30
40,2.0,-0.05,0.00,0.01561794,0.01466138,0.01220841,0.01085466,0.00915415,0.07831717,0.07933252,0.08164064,0.08270048,0.08377922,61882.73,55187.94,39400.29,31615.76,22860.01,227.6182,210.9424,170.6841,149.8127,124.7160,425716105.97,447052632.93,498309140.10,524114835.95,553660461.38
