day,year,rbp_eib,qap_eib,per_sector_pledge,network_pledge_fil,daily_issuance,circ_supply
1,0.0027,2.1697,18.3913,0.16922863,94703799.14,69460.73,832650793.73
2,0.0055,2.1694,18.3442,0.16948965,94537961.40,69438.55,832801565.28
3,0.0082,2.1691,18.2971,0.16975246,94372486.27,69416.38,832952314.66
4,0.0110,2.1688,18.2499,0.17001707,94207373.28,69394.21,833103041.87
5,0.0137,2.1685,18.2028,0.17028349,94042621.94,69372.05,833253746.92
6,0.0164,2.1682,18.1557,0.17055174,93878231.75,69349.90,833404429.82
7,0.0192,2.1679,18.1087,0.17082182,93714202.25,69327.76,833555090.57
8,0.0219,2.1676,18.0616,0.17109375,93550532.95,69305.62,833705729.20
9,0.0246,2.1673,18.0146,0.17136755,93387223.37,69283.50,833856345.69
10,0.0274,2.1670,17.9675,0.17164322,93224273.04,69261.38,834006940.07
11,0.0301,2.1666,17.9205,0.17192078,93061681.49,69239.27,834157512.34
12,0.0329,2.1663,17.8735,0.17220024,92899448.24,69217.16,834308062.50
13,0.0356,2.1660,17.8265,0.17248161,92737572.84,69195.07,834458590.57
14,0.0383,2.1657,17.7795,0.17276491,92576054.82,69172.98,834609096.55
15,0.0411,2.1654,17.7325,0.17305015,92414893.71,69150.90,834759580.45
16,0.0438,2.1651,17.6855,0.17333734,92254089.06,69128.83,834910042.28
17,0.0465,2.1648,17.6386,0.17362650,92093640.42,69106.77,835060482.04
18,0.0493,2.1645,17.5917,0.17391764,91933547.32,69084.71,835210899.75
19,0.0520,2.1642,17.5447,0.17421077,91773809.33,69062.66,835361295.42
20,0.0548,2.1639,17.4978,0.17450591,91614425.98,69040.62,835511669.04
21,0.0575,2.1636,17.4509,0.17480308,91455396.84,69018.59,835662020.63
22,0.0602,2.1633,17.4040,0.17510228,91296721.46,68996.56,835812350.19
23,0.0630,2.1630,17.3572,0.17540354,91138399.41,68974.55,835962657.74
24,0.0657,2.1627,17.3103,0.17570686,90980430.24,68952.54,836112943.28
25,0.0684,2.1624,17.2635,0.17601226,90822813.52,68930.54,836263206.81
26,0.0712,2.1621,17.2166,0.17631976,90665548.82,68908.54,836413448.36
27,0.0739,2.1618,17.1698,0.17662937,90508635.71,68886.56,836563667.92
28,0.0767,2.1615,17.1230,0.17694110,90352073.76,68864.58,836713865.50
29,0.0794,2.1612,17.0762,0.17725498,90195862.56,68842.61,836864041.11
30,0.0821,2.1609,17.0294,0.17757101,90040001.67,68820.65,837014194.76
31,0.0849,2.1606,16.9826,0.17788922,89884490.69,68798.70,837164326.45
32,0.0876,2.1603,16.9359,0.17820962,89729329.19,68776.75,837314436.20
33,0.0903,2.1600,16.8891,0.17853222,89574516.78,68754.81,837464524.01
34,0.0931,2.1597,16.8424,0.17885704,89420053.02,68732.88,837614589.89
35,0.0958,2.1594,16.7957,0.17918409,89265937.53,68710.96,837764633.85
36,0.0986,2.1590,16.7490,0.17951341,89112169.90,68689.04,837914655.89
37,0.1013,2.1587,16.7023,0.17984499,88958749.72,68667.13,838064656.03
38,0.1040,2.1584,16.6556,0.18017886,88805676.60,68645.23,838214634.26
39,0.1068,2.1581,16.6089,0.18051504,88652950.15,68623.34,838364590.60
40,0.1095,2.1578,16.5623,0.18085353,88500569.96,68601.46,838514525.06
41,0.1123,2.1575,16.5156,0.18119437,88348535.67,68579.58,838664437.65
42,0.1150,2.1572,16.4690,0.18153757,88196846.87,68557.71,838814328.36
43,0.1177,2.1569,16.4224,0.18188314,88045503.19,68535.85,838964197.21
44,0.1205,2.1566,16.3758,0.18223110,87894504.25,68514.00,839114044.22
45,0.1232,2.1563,16.3292,0.18258147,87743849.66,68492.16,839263869.37
46,0.1259,2.1560,16.2826,0.18293428,87593539.07,68470.32,839413672.69
47,0.1287,2.1557,16.2361,0.18328953,87443572.09,68448.49,839563454.18
48,0.1314,2.1554,16.1895,0.18364725,87293948.36,68426.67,839713213.84
49,0.1342,2.1551,16.1430,0.18400746,87144667.52,68404.85,839862951.70
50,0.1369,2.1548,16.0964,0.18437017,86995729.21,68383.05,840012667.74
51,0.1396,2.1545,16.0499,0.18473541,86847133.06,68361.25,840162361.99
52,0.1424,2.1542,16.0034,0.18510320,86698878.73,68339.46,840312034.45
53,0.1451,2.1539,15.9569,0.18547355,86550965.86,68317.67,840461685.12
54,0.1478,2.1536,15.9104,0.18584648,86403394.10,68295.90,840611314.02
55,0.1506,2.1533,15.8640,0.18622202,86256163.12,68274.13,840760921.15
56,0.1533,2.1530,15.8175,0.18660019,86109272.56,68252.37,840910506.52
57,0.1561,2.1527,15.7711,0.18698100,85962722.10,68230.62,841060070.14
58,0.1588,2.1524,15.7247,0.18736449,85816511.40,68208.87,841209612.01
59,0.1615,2.1521,15.6783,0.18775066,85670640.12,68187.14,841359132.15
60,0.1643,2.1518,15.6319,0.18813954,85525107.94,68165.41,841508630.56
61,0.1670,2.1515,15.5855,0.18853116,85379914.53,68143.69,841658107.24
62,0.1697,2.1512,15.5391,0.18892553,85235059.57,68121.97,841807562.22
63,0.1725,2.1509,15.4927,0.18932268,85090542.76,68100.27,841956995.48
64,0.1752,2.1506,15.4464,0.18972263,84946363.76,68078.57,842106407.05
65,0.1780,2.1503,15.4000,0.19012541,84802522.27,68056.88,842255796.93
66,0.1807,2.1500,15.3537,0.19053103,84659017.99,68035.20,842405165.12
67,0.1834,2.1497,15.3074,0.19093952,84515850.61,68013.52,842554511.64
68,0.1862,2.1494,15.2611,0.19135090,84373019.84,67991.85,842703836.50
69,0.1889,2.1491,15.2148,0.19176520,84230525.36,67970.19,842853139.69
70,0.1916,2.1488,15.1686,0.19218245,84088366.90,67948.54,843002421.23
71,0.1944,2.1485,15.1223,0.19260265,83946544.17,67926.90,843151681.13
72,0.1971,2.1482,15.0760,0.19302585,83805056.88,67905.26,843300919.38
73,0.1999,2.1479,15.0298,0.19345207,83663904.74,67883.63,843450136.01
74,0.2026,2.1476,14.9836,0.19388133,83523087.49,67862.01,843599331.02
75,0.2053,2.1472,14.9374,0.19431365,83382604.84,67840.39,843748504.42
76,0.2081,2.1469,14.8912,0.19474907,83242456.53,67818.79,843897656.21
77,0.2108,2.1466,14.8450,0.19518761,83102642.30,67797.19,844046786.40
78,0.2136,2.1463,14.7988,0.19562929,82963161.87,67775.60,844195895.00
79,0.2163,2.1460,14.7527,0.19607415,82824015.00,67754.02,844344982.01
80,0.2190,2.1457,14.7065,0.19652221,82685201.42,67732.44,844494047.45
