day,year,rbp_eib,qap_eib,per_sector_pledge,network_pledge_fil,daily_issuance,circ_supply
1,0.0027,2.1703,18.3964,0.16919485,94718778.84,69464.63,832650797.63
2,0.0055,2.1706,18.3543,0.16942191,94567873.82,69446.35,832801576.99
3,0.0082,2.1709,18.3121,0.16965058,94417284.61,69428.08,832952338.06
4,0.0110,2.1712,18.2700,0.16988088,94267010.85,69409.81,833103080.87
5,0.0137,2.1715,18.2278,0.17011281,94117052.22,69391.54,833253805.41
6,0.0164,2.1717,18.1856,0.17034638,93967408.38,69373.28,833404511.70
7,0.0192,2.1720,18.1435,0.17058161,93818078.99,69355.03,833555199.73
8,0.0219,2.1723,18.1013,0.17081851,93669063.72,69336.78,833705869.51
9,0.0246,2.1726,18.0591,0.17105708,93520362.24,69318.54,833856521.05
10,0.0274,2.1729,18.0168,0.17129734,93371974.22,69300.30,834007154.35
11,0.0301,2.1732,17.9746,0.17153930,93223899.35,69282.07,834157769.43
12,0.0329,2.1735,17.9324,0.17178298,93076137.29,69263.85,834308366.28
13,0.0356,2.1738,17.8901,0.17202838,92928687.73,69245.63,834458944.91
14,0.0383,2.1741,17.8479,0.17227551,92781550.35,69227.42,834609505.32
15,0.0411,2.1744,17.8056,0.17252439,92634724.83,69209.21,834760047.53
16,0.0438,2.1746,17.7633,0.17277503,92488210.87,69191.00,834910571.53
17,0.0465,2.1749,17.7210,0.17302743,92342008.15,69172.81,835061077.34
18,0.0493,2.1752,17.6787,0.17328163,92196116.37,69154.62,835211564.96
19,0.0520,2.1755,17.6364,0.17353762,92050535.22,69136.43,835362034.39
20,0.0548,2.1758,17.5940,0.17379541,91905264.39,69118.25,835512485.64
21,0.0575,2.1761,17.5517,0.17405503,91760303.59,69100.08,835662918.72
22,0.0602,2.1764,17.5093,0.17431648,91615652.52,69081.91,835813333.62
23,0.0630,2.1767,17.4670,0.17457978,91471310.88,69063.74,835963730.37
24,0.0657,2.1770,17.4246,0.17484493,91327278.38,69045.59,836114108.96
25,0.0684,2.1773,17.3822,0.17511196,91183554.74,69027.44,836264469.39
26,0.0712,2.1776,17.3398,0.17538088,91040139.65,69009.29,836414811.68
27,0.0739,2.1778,17.2974,0.17565169,90897032.85,68991.15,836565135.83
28,0.0767,2.1781,17.2550,0.17592442,90754234.04,68973.01,836715441.84
29,0.0794,2.1784,17.2125,0.17619907,90611742.95,68954.88,836865729.73
30,0.0821,2.1787,17.1701,0.17647567,90469559.29,68936.76,837015999.49
31,0.0849,2.1790,17.1276,0.17675422,90327682.81,68918.64,837166251.13
32,0.0876,2.1793,17.0851,0.17703473,90186113.21,68900.53,837316484.66
33,0.0903,2.1796,17.0427,0.17731723,90044850.24,68882.42,837466700.08
34,0.0931,2.1799,17.0002,0.17760173,89903893.63,68864.32,837616897.40
35,0.0958,2.1802,16.9576,0.17788824,89763243.11,68846.23,837767076.63
36,0.0986,2.1805,16.9151,0.17817678,89622898.42,68828.13,837917237.76
37,0.1013,2.1808,16.8726,0.17846736,89482859.31,68810.05,838067380.81
38,0.1040,2.1811,16.8301,0.17876000,89343125.53,68791.97,838217505.78
39,0.1068,2.1813,16.7875,0.17905471,89203696.80,68773.90,838367612.68
40,0.1095,2.1816,16.7449,0.17935150,89064572.90,68755.83,838517701.51
41,0.1123,2.1819,16.7024,0.17965040,88925753.57,68737.77,838667772.28
42,0.1150,2.1822,16.6598,0.17995142,88787238.57,68719.71,838817824.99
43,0.1177,2.1825,16.6172,0.18025458,88649027.65,68701.66,838967859.65
44,0.1205,2.1828,16.5746,0.18055988,88511120.58,68683.61,839117876.26
45,0.1232,2.1831,16.5319,0.18086735,88373517.13,68665.57,839267874.84
46,0.1259,2.1834,16.4893,0.18117701,88236217.05,68647.54,839417855.38
47,0.1287,2.1837,16.4466,0.18148887,88099220.13,68629.51,839567817.89
48,0.1314,2.1840,16.4040,0.18180294,87962526.14,68611.49,839717762.37
49,0.1342,2.1843,16.3613,0.18211925,87826134.85,68593.47,839867688.84
50,0.1369,2.1846,16.3186,0.18243781,87690046.04,68575.46,840017597.30
51,0.1396,2.1848,16.2759,0.18275864,87554259.49,68557.45,840167487.75
52,0.1424,2.1851,16.2332,0.18308176,87418775.00,68539.45,840317360.21
53,0.1451,2.1854,16.1905,0.18340718,87283592.35,68521.46,840467214.66
54,0.1478,2.1857,16.1478,0.18373493,87148711.34,68503.47,840617051.13
55,0.1506,2.1860,16.1050,0.18406501,87014131.75,68485.48,840766869.61
56,0.1533,2.1863,16.0623,0.18439746,86879853.40,68467.50,840916670.11
57,0.1561,2.1866,16.0195,0.18473228,86745876.07,68449.53,841066452.64
58,0.1588,2.1869,15.9767,0.18506950,86612199.58,68431.56,841216217.20
59,0.1615,2.1872,15.9340,0.18540913,86478823.73,68413.60,841365963.80
60,0.1643,2.1875,15.8912,0.18575120,86345748.34,68395.64,841515692.45
61,0.1670,2.1878,15.8483,0.18609573,86212973.21,68377.69,841665403.14
62,0.1697,2.1881,15.8055,0.18644273,86080498.18,68359.75,841815095.89
63,0.1725,2.1884,15.7627,0.18679222,85948323.06,68341.81,841964770.69
64,0.1752,2.1886,15.7198,0.18714423,85816447.68,68323.87,842114427.57
65,0.1780,2.1889,15.6770,0.18749877,85684871.86,68305.94,842264066.51
66,0.1807,2.1892,15.6341,0.18785587,85553595.44,68288.02,842413687.53
67,0.1834,2.1895,15.5912,0.18821554,85422618.25,68270.10,842563290.64
68,0.1862,2.1898,15.5483,0.18857781,85291940.14,68252.19,842712875.83
69,0.1889,2.1901,15.5054,0.18894271,85161560.94,68234.29,842862443.11
70,0.1916,2.1904,15.4625,0.18931024,85031480.51,68216.38,843011992.50
71,0.1944,2.1907,15.4196,0.18968043,84901698.68,68198.49,843161523.99
72,0.1971,2.1910,15.3766,0.19005331,84772215.33,68180.60,843311037.59
73,0.1999,2.1913,15.3337,0.19042889,84643030.30,68162.71,843460533.30
74,0.2026,2.1916,15.2907,0.19080721,84514143.45,68144.84,843610011.14
