day,year,rbp_eib,qap_eib,per_sector_pledge,network_pledge_fil,daily_issuance,circ_supply
1,0.0027,2.1700,18.3939,0.16921131,94717131.12,69462.73,832650795.73
2,0.0055,2.1700,18.3493,0.16945493,94564578.17,69442.55,832801571.28
3,0.0082,2.1700,18.3048,0.16970023,94412340.81,69422.37,832952326.65
4,0.0110,2.1700,18.2602,0.16994725,94260418.68,69402.20,833103061.85
5,0.0137,2.1700,18.2156,0.17019598,94108811.42,69382.04,833253776.89
6,0.0164,2.1700,18.1711,0.17044645,93957518.69,69361.88,833404471.77
7,0.0192,2.1700,18.1265,0.17069865,93806540.14,69341.73,833555146.50
8,0.0219,2.1700,18.0819,0.17095261,93655875.42,69321.58,833705801.08
9,0.0246,2.1700,18.0373,0.17120834,93505524.20,69301.45,833856435.53
10,0.0274,2.1700,17.9928,0.17146584,93355486.12,69281.31,834007049.84
11,0.0301,2.1700,17.9482,0.17172513,93205760.85,69261.19,834157644.03
12,0.0329,2.1700,17.9036,0.17198622,93056348.06,69241.07,834308218.10
13,0.0356,2.1700,17.8591,0.17224912,92907247.41,69220.96,834458772.06
14,0.0383,2.1700,17.8145,0.17251385,92758458.56,69200.85,834609305.91
15,0.0411,2.1700,17.7699,0.17278042,92609981.20,69180.75,834759819.66
16,0.0438,2.1700,17.7254,0.17304884,92461814.98,69160.66,834910313.33
17,0.0465,2.1700,17.6808,0.17331913,92313959.60,69140.57,835060786.90
18,0.0493,2.1700,17.6362,0.17359129,92166414.71,69120.49,835211240.39
19,0.0520,2.1700,17.5916,0.17386534,92019180.01,69100.42,835361673.81
20,0.0548,2.1700,17.5471,0.17414129,91872255.18,69080.35,835512087.17
21,0.0575,2.1700,17.5025,0.17441916,91725639.90,69060.29,835662480.46
22,0.0602,2.1700,17.4579,0.17469896,91579333.85,69040.24,835812853.70
23,0.0630,2.1700,17.4134,0.17498071,91433336.74,69020.19,835963206.89
24,0.0657,2.1700,17.3688,0.17526441,91287648.24,69000.15,836113540.04
25,0.0684,2.1700,17.3242,0.17555008,91142268.06,68980.12,836263853.16
26,0.0712,2.1700,17.2796,0.17583774,90997195.88,68960.09,836414146.25
27,0.0739,2.1700,17.2351,0.17612740,90852431.42,68940.07,836564419.31
28,0.0767,2.1700,17.1905,0.17641907,90707974.36,68920.05,836714672.36
29,0.0794,2.1700,17.1459,0.17671277,90563824.43,68900.04,836864905.40
30,0.0821,2.1700,17.1014,0.17700852,90419981.31,68880.04,837015118.44
31,0.0849,2.1700,17.0568,0.17730632,90276444.73,68860.04,837165311.48
32,0.0876,2.1700,17.0122,0.17760619,90133214.39,68840.05,837315484.53
33,0.0903,2.1700,16.9676,0.17790816,89990290.00,68820.07,837465637.60
34,0.0931,2.1700,16.9231,0.17821222,89847671.29,68800.09,837615770.69
35,0.0958,2.1700,16.8785,0.17851841,89705357.98,68780.12,837765883.82
36,0.0986,2.1700,16.8339,0.17882673,89563349.78,68760.16,837915976.97
37,0.1013,2.1700,16.7894,0.17913720,89421646.43,68740.20,838066050.17
38,0.1040,2.1700,16.7448,0.17944984,89280247.64,68720.25,838216103.42
39,0.1068,2.1700,16.7002,0.17976466,89139153.16,68700.30,838366136.72
40,0.1095,2.1700,16.6556,0.18008168,88998362.70,68680.36,838516150.09
41,0.1123,2.1700,16.6111,0.18040091,88857876.02,68660.43,838666143.52
42,0.1150,2.1700,16.5665,0.18072238,88717692.84,68640.51,838816117.03
43,0.1177,2.1700,16.5219,0.18104609,88577812.91,68620.59,838966070.61
44,0.1205,2.1700,16.4774,0.18137207,88438235.97,68600.67,839116004.29
45,0.1232,2.1700,16.4328,0.18170034,88298961.77,68580.77,839265918.06
46,0.1259,2.1700,16.3882,0.18203090,88159990.06,68560.87,839415811.93
47,0.1287,2.1700,16.3436,0.18236378,88021320.59,68540.97,839565685.90
48,0.1314,2.1700,16.2991,0.18269900,87882953.11,68521.09,839715539.99
49,0.1342,2.1700,16.2545,0.18303657,87744887.39,68501.21,839865374.19
50,0.1369,2.1700,16.2099,0.18337652,87607123.19,68481.33,840015188.52
