day,year,rbp_eib,qap_eib,per_sector_pledge,network_pledge_fil,daily_issuance,circ_supply
1,0.0027,2.1697,18.4359,0.16892964,94703758.83,69460.73,832650793.73
2,0.0055,2.1694,18.4333,0.16889004,94537840.34,69438.55,832801565.28
3,0.0082,2.1691,18.4307,0.16885057,94372243.90,69416.38,832952314.66
4,0.0110,2.1688,18.4281,0.16881124,94206968.89,69394.21,833103041.87
5,0.0137,2.1685,18.4255,0.16877205,94042014.69,69372.05,833253746.92
6,0.0164,2.1682,18.4229,0.16873299,93877380.69,69349.90,833404429.82
7,0.0192,2.1679,18.4204,0.16869407,93713066.26,69327.76,833555090.57
8,0.0219,2.1676,18.4178,0.16865528,93549070.79,69305.62,833705729.20
9,0.0246,2.1673,18.4152,0.16861663,93385393.66,69283.50,833856345.69
10,0.0274,2.1670,18.4126,0.16857812,93222034.26,69261.38,834006940.07
11,0.0301,2.1666,18.4100,0.16853974,93058991.97,69239.27,834157512.34
12,0.0329,2.1663,18.4074,0.16850149,92896266.19,69217.16,834308062.50
13,0.0356,2.1660,18.4048,0.16846338,92733856.31,69195.07,834458590.57
14,0.0383,2.1657,18.4022,0.16842541,92571761.70,69172.98,834609096.55
15,0.0411,2.1654,18.3997,0.16838756,92409981.78,69150.90,834759580.45
16,0.0438,2.1651,18.3971,0.16834986,92248515.92,69128.83,834910042.28
17,0.0465,2.1648,18.3945,0.16831228,92087363.52,69106.77,835060482.04
18,0.0493,2.1645,18.3919,0.16827485,91926523.99,69084.71,835210899.75
19,0.0520,2.1642,18.3893,0.16823754,91765996.71,69062.66,835361295.42
20,0.0548,2.1639,18.3867,0.16820037,91605781.08,69040.62,835511669.04
21,0.0575,2.1636,18.3842,0.16816333,91445876.50,69018.59,835662020.63
22,0.0602,2.1633,18.3816,0.16812642,91286282.37,68996.56,835812350.19
23,0.0630,2.1630,18.3790,0.16808965,91126998.10,68974.55,835962657.74
24,0.0657,2.1627,18.3764,0.16805301,90968023.08,68952.54,836112943.28
25,0.0684,2.1624,18.3738,0.16801650,90809356.72,68930.54,836263206.81
26,0.0712,2.1621,18.3712,0.16798012,90650998.42,68908.54,836413448.36
27,0.0739,2.1618,18.3687,0.16794387,90492947.60,68886.56,836563667.92
28,0.0767,2.1615,18.3661,0.16790776,90335203.64,68864.58,836713865.50
29,0.0794,2.1612,18.3635,0.16787178,90177765.97,68842.61,836864041.11
30,0.0821,2.1609,18.3609,0.16783593,90020633.99,68820.65,837014194.76
31,0.0849,2.1606,18.3583,0.16780021,89863807.12,68798.70,837164326.45
32,0.0876,2.1603,18.3558,0.16776462,89707284.76,68776.75,837314436.20
33,0.0903,2.1600,18.3532,0.16772916,89551066.33,68754.81,837464524.01
34,0.0931,2.1597,18.3506,0.16769383,89395151.24,68732.88,837614589.89
35,0.0958,2.1594,18.3480,0.16765864,89239538.90,68710.96,837764633.85
36,0.0986,2.1590,18.3454,0.16762357,89084228.74,68689.04,837914655.89
37,0.1013,2.1587,18.3429,0.16758863,88929220.16,68667.13,838064656.03
38,0.1040,2.1584,18.3403,0.16755382,88774512.60,68645.23,838214634.26
39,0.1068,2.1581,18.3377,0.16751914,88620105.46,68623.34,838364590.60
40,0.1095,2.1578,18.3351,0.16748459,88465998.16,68601.46,838514525.06
41,0.1123,2.1575,18.3326,0.16745017,88312190.14,68579.58,838664437.65
42,0.1150,2.1572,18.3300,0.16741588,88158680.80,68557.71,838814328.36
43,0.1177,2.1569,18.3274,0.16738172,88005469.59,68535.85,838964197.21
44,0.1205,2.1566,18.3248,0.16734768,87852555.91,68514.00,839114044.22
45,0.1232,2.1563,18.3223,0.16731378,87699939.20,68492.16,839263869.37
46,0.1259,2.1560,18.3197,0.16728000,87547618.88,68470.32,839413672.69
47,0.1287,2.1557,18.3171,0.16724635,87395594.38,68448.49,839563454.18
48,0.1314,2.1554,18.3145,0.16721283,87243865.14,68426.67,839713213.84
49,0.1342,2.1551,18.3120,0.16717943,87092430.58,68404.85,839862951.70
50,0.1369,2.1548,18.3094,0.16714616,86941290.13,68383.05,840012667.74
51,0.1396,2.1545,18.3068,0.16711302,86790443.23,68361.25,840162361.99
52,0.1424,2.1542,18.3042,0.16708001,86639889.31,68339.46,840312034.45
53,0.1451,2.1539,18.3017,0.16704712,86489627.80,68317.67,840461685.12
54,0.1478,2.1536,18.2991,0.16701436,86339658.14,68295.90,840611314.02
55,0.1506,2.1533,18.2965,0.16698172,86189979.77,68274.13,840760921.15
56,0.1533,2.1530,18.2940,0.16694921,86040592.13,68252.37,840910506.52
57,0.1561,2.1527,18.2914,0.16691683,85891494.66,68230.62,841060070.14
58,0.1588,2.1524,18.2888,0.16688457,85742686.79,68208.87,841209612.01
59,0.1615,2.1521,18.2862,0.16685244,85594167.96,68187.14,841359132.15
60,0.1643,2.1518,18.2837,0.16682043,85445937.63,68165.41,841508630.56
61,0.1670,2.1515,18.2811,0.16678855,85297995.23,68143.69,841658107.24
62,0.1697,2.1512,18.2785,0.16675679,85150340.21,68121.97,841807562.22
63,0.1725,2.1509,18.2760,0.16672516,85002972.01,68100.27,841956995.48
64,0.1752,2.1506,18.2734,0.16669365,84855890.08,68078.57,842106407.05
65,0.1780,2.1503,18.2708,0.16666227,84709093.87,68056.88,842255796.93
66,0.1807,2.1500,18.2683,0.16663101,84562582.83,68035.20,842405165.12
67,0.1834,2.1497,18.2657,0.16659988,84416356.41,68013.52,842554511.64
68,0.1862,2.1494,18.2631,0.16656886,84270414.05,67991.85,842703836.50
69,0.1889,2.1491,18.2606,0.16653797,84124755.21,67970.19,842853139.69
70,0.1916,2.1488,18.2580,0.16650721,83979379.35,67948.54,843002421.23
71,0.1944,2.1485,18.2554,0.16647657,83834285.92,67926.90,843151681.13
72,0.1971,2.1482,18.2529,0.16644605,83689474.37,67905.26,843300919.38
73,0.1999,2.1479,18.2503,0.16641565,83544944.16,67883.63,843450136.01
74,0.2026,2.1476,18.2477,0.16638538,83400694.74,67862.01,843599331.02
75,0.2053,2.1472,18.2452,0.16635523,83256725.59,67840.39,843748504.42
76,0.2081,2.1469,18.2426,0.16632520,83113036.14,67818.79,843897656.21
77,0.2108,2.1466,18.2400,0.16629529,82969625.87,67797.19,844046786.40
78,0.2136,2.1463,18.2375,0.16626551,82826494.24,67775.60,844195895.00
79,0.2163,2.1460,18.2349,0.16623584,82683640.71,67754.02,844344982.01
80,0.2190,2.1457,18.2324,0.16620630,82541064.74,67732.44,844494047.45
81,0.2218,2.1454,18.2298,0.16617688,82398765.81,67710.87,844643091.32
82,0.2245,2.1451,18.2272,0.16614758,82256743.36,67689.31,844792113.64
83,0.2272,2.1448,18.2247,0.16611840,82114996.87,67667.76,844941114.40
84,0.2300,2.1445,18.2221,0.16608934,81973525.82,67646.21,845090093.61
85,0.2327,2.1442,18.2196,0.16606040,81832329.66,67624.68,845239051.29
86,0.2355,2.1439,18.2170,0.16603158,81691407.87,67603.15,845387987.44
87,0.2382,2.1436,18.2144,0.16600289,81550759.91,67581.63,845536902.06
88,0.2409,2.1433,18.2119,0.16597431,81410385.27,67560.11,845685795.17
89,0.2437,2.1430,18.2093,0.16594585,81270283.40,67538.60,845834666.78
90,0.2464,2.1427,18.2068,0.16591751,81130453.80,67517.11,845983516.88
91,0.2491,2.1424,18.2042,0.16588929,80990895.92,67495.61,846132345.50
92,0.2519,2.1421,18.2016,0.16586119,80851609.26,67474.13,846281152.63
93,0.2546,2.1418,18.1991,0.16583321,80712593.28,67452.65,846429938.28
94,0.2574,2.1415,18.1965,0.16580535,80573847.46,67431.18,846578702.46
95,0.2601,2.1412,18.1940,0.16577760,80435371.28,67409.72,846727445.19
96,0.2628,2.1409,18.1914,0.16574998,80297164.22,67388.27,846876166.46
97,0.2656,2.1406,18.1889,0.16572247,80159225.77,67366.82,847024866.28
98,0.2683,2.1403,18.1863,0.16569508,80021555.40,67345.38,847173544.66
99,0.2710,2.1400,18.1837,0.16566781,79884152.60,67323.95,847322201.62
100,0.2738,2.1397,18.1812,0.16564066,79747016.85,67302.53,847470837.15
101,0.2765,2.1394,18.1786,0.16561362,79610147.63,67281.12,847619451.26
102,0.2793,2.1391,18.1761,0.16558670,79473544.44,67259.71,847768043.97
103,0.2820,2.1388,18.1735,0.16555990,79337206.76,67238.31,847916615.28
104,0.2847,2.1385,18.1710,0.16553322,79201134.08,67216.91,848065165.19
105,0.2875,2.1382,18.1684,0.16550665,79065325.88,67195.53,848213693.72
106,0.2902,2.1379,18.1659,0.16548020,78929781.66,67174.15,848362200.87
107,0.2930,2.1376,18.1633,0.16545386,78794500.90,67152.78,848510686.65
108,0.2957,2.1373,18.1608,0.16542764,78659483.11,67131.42,848659151.07
109,0.2984,2.1370,18.1582,0.16540154,78524727.77,67110.06,848807594.13
110,0.3012,2.1367,18.1557,0.16537556,78390234.37,67088.71,848956015.84
111,0.3039,2.1364,18.1531,0.16534968,78256002.42,67067.37,849104416.22
112,0.3066,2.1361,18.1506,0.16532393,78122031.40,67046.04,849252795.26
113,0.3094,2.1358,18.1480,0.16529829,77988320.81,67024.72,849401152.98
114,0.3121,2.1355,18.1455,0.16527276,77854870.16,67003.40,849549489.37
115,0.3149,2.1352,18.1429,0.16524735,77721678.94,66982.09,849697804.46
116,0.3176,2.1349,18.1404,0.16522206,77588746.64,66960.79,849846098.25
117,0.3203,2.1346,18.1378,0.16519688,77456072.78,66939.49,849994370.74
118,0.3231,2.1343,18.1353,0.16517181,77323656.85,66918.20,850142621.95
119,0.3258,2.1340,18.1327,0.16514686,77191498.36,66896.92,850290851.87
120,0.3285,2.1337,18.1302,0.16512202,77059596.80,66875.65,850439060.52
