day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1697,18.4359,114.28,34529967.48,3508420.98,155516089.69,246328715.87,401844805.57,69460.73,4.82366191,0.00011229,0.00359315,0.00224572,0.16671240,0.16895812,832650794.06,24.2737
2,0.0055,2.1694,18.4333,114.35,34536215.32,3508668.24,155571300.17,246342943.94,401914244.12,69438.55,4.82212149,0.00011227,0.00359251,0.00224532,0.16673176,0.16897707,832801565.95,24.2667
3,0.0082,2.1691,18.4307,114.42,34542462.29,3508915.42,155626493.18,246357167.31,401983660.49,69416.38,4.82058162,0.00011225,0.00359186,0.00224491,0.16675112,0.16899603,832952315.66,24.2596
4,0.0110,2.1688,18.4281,114.49,34548708.38,3509162.53,155681668.73,246371385.97,402053054.70,69394.21,4.81904230,0.00011223,0.00359122,0.00224451,0.16677049,0.16901501,833103043.20,24.2525
5,0.0137,2.1685,18.4255,114.56,34554953.59,3509409.56,155736826.82,246385599.94,402122426.75,69372.05,4.81750352,0.00011221,0.00359058,0.00224411,0.16678988,0.16903399,833253748.58,24.2455
6,0.0164,2.1682,18.4229,114.63,34561197.92,3509656.52,155791967.45,246399809.20,402191776.65,69349.90,4.81596530,0.00011219,0.00358994,0.00224371,0.16680928,0.16905299,833404431.82,24.2384
7,0.0192,2.1679,18.4204,114.70,34567441.38,3509903.40,155847090.64,246414013.78,402261104.41,69327.76,4.81442762,0.00011217,0.00358929,0.00224331,0.16682868,0.16907199,833555092.91,24.2314
8,0.0219,2.1676,18.4178,114.77,34573683.95,3510150.21,155902196.38,246428213.66,402330410.03,69305.62,4.81289049,0.00011215,0.00358865,0.00224291,0.16684810,0.16909101,833705731.86,24.2243
9,0.0246,2.1673,18.4152,114.84,34579925.66,3510396.95,155957284.69,246442408.84,402399693.53,69283.50,4.81135391,0.00011213,0.00358801,0.00224251,0.16686753,0.16911004,833856348.69,24.2172
10,0.0274,2.1670,18.4126,114.91,34586166.48,3510643.61,156012355.56,246456599.35,402468954.91,69261.38,4.80981787,0.00011211,0.00358737,0.00224211,0.16688697,0.16912908,834006943.40,24.2102
11,0.0301,2.1666,18.4100,114.98,34592406.43,3510890.19,156067409.01,246470785.16,402538194.17,69239.27,4.80828239,0.00011209,0.00358673,0.00224171,0.16690642,0.16914813,834157516.00,24.2031
12,0.0329,2.1663,18.4074,115.05,34598645.50,3511136.70,156122445.04,246484966.30,402607411.34,69217.16,4.80674744,0.00011207,0.00358609,0.00224130,0.16692589,0.16916719,834308066.50,24.1961
13,0.0356,2.1660,18.4048,115.12,34604883.69,3511383.13,156177463.66,246499142.75,402676606.41,69195.07,4.80521305,0.00011205,0.00358545,0.00224090,0.16694536,0.16918627,834458594.90,24.1890
14,0.0383,2.1657,18.4022,115.19,34611121.01,3511629.49,156232464.86,246513314.52,402745779.39,69172.98,4.80367920,0.00011203,0.00358481,0.00224050,0.16696485,0.16920535,834609101.22,24.1820
15,0.0411,2.1654,18.3997,115.26,34617357.45,3511875.78,156287448.67,246527481.62,402814930.29,69150.90,4.80214590,0.00011201,0.00358417,0.00224010,0.16698434,0.16922445,834759585.45,24.1749
16,0.0438,2.1651,18.3971,115.33,34623593.01,3512121.99,156342415.07,246541644.04,402884059.12,69128.83,4.80061315,0.00011199,0.00358352,0.00223970,0.16700385,0.16924355,834910047.61,24.1679
17,0.0465,2.1648,18.3945,115.40,34629827.70,3512368.13,156397364.08,246555801.80,402953165.88,69106.77,4.79908094,0.00011197,0.00358288,0.00223930,0.16702337,0.16926267,835060487.71,24.1608
18,0.0493,2.1645,18.3919,115.47,34636061.51,3512614.19,156452295.71,246569954.88,403022250.59,69084.71,4.79754927,0.00011195,0.00358224,0.00223890,0.16704290,0.16928180,835210905.75,24.1538
19,0.0520,2.1642,18.3893,115.54,34642294.44,3512860.18,156507209.95,246584103.30,403091313.25,69062.66,4.79601816,0.00011193,0.00358160,0.00223850,0.16706244,0.16930094,835361301.75,24.1467
20,0.0548,2.1639,18.3867,115.61,34648526.50,3513106.09,156562106.82,246598247.05,403160353.87,69040.62,4.79448758,0.00011191,0.00358096,0.00223810,0.16708199,0.16932009,835511675.70,24.1397
21,0.0575,2.1636,18.3842,115.68,34654757.69,3513351.93,156616986.32,246612386.14,403229372.46,69018.59,4.79295755,0.00011189,0.00358033,0.00223770,0.16710155,0.16933926,835662027.63,24.1327
22,0.0602,2.1633,18.3816,115.75,34660987.99,3513597.69,156671848.45,246626520.58,403298369.03,68996.56,4.79142807,0.00011187,0.00357969,0.00223730,0.16712113,0.16935843,835812357.52,24.1256
23,0.0630,2.1630,18.3790,115.82,34667217.43,3513843.38,156726693.22,246640650.35,403367343.57,68974.55,4.78989913,0.00011185,0.00357905,0.00223690,0.16714071,0.16937762,835962665.40,24.1186
