day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1698,18.4023,114.42,34529967.84,3508420.99,155516089.69,246328716.69,401844806.38,69461.54,4.82371832,0.00011249,0.00359975,0.00224985,0.06504951,0.06729936,832650794.88,61.0523
2,0.0055,2.1696,18.3661,114.64,34536216.39,3508668.28,155571300.17,246342946.38,401914246.55,69440.17,4.82223427,0.00011268,0.00360574,0.00225359,0.06493786,0.06719144,832801568.38,61.2520
3,0.0082,2.1695,18.3299,114.86,34542464.43,3508915.51,155626493.18,246357172.18,401983665.37,69418.81,4.82075072,0.00011287,0.00361175,0.00225734,0.06482639,0.06708373,832952320.53,61.4526
4,0.0110,2.1693,18.2937,115.08,34548711.94,3509162.67,155681668.73,246371394.09,402053062.82,69397.45,4.81926768,0.00011306,0.00361778,0.00226111,0.06471511,0.06697622,833103051.32,61.6540
5,0.0137,2.1691,18.2575,115.30,34554958.94,3509409.77,155736826.82,246385612.11,402122438.93,69376.11,4.81778514,0.00011324,0.00362383,0.00226489,0.06460402,0.06686892,833253760.76,61.8563
6,0.0164,2.1689,18.2214,115.51,34561205.41,3509656.82,155791967.45,246399826.24,402191793.69,69354.76,4.81630310,0.00011343,0.00362991,0.00226869,0.06449312,0.06676181,833404448.85,62.0594
7,0.0192,2.1687,18.1852,115.73,34567451.36,3509903.80,155847090.64,246414036.49,402261127.12,69333.43,4.81482157,0.00011363,0.00363601,0.00227250,0.06438240,0.06665491,833555115.62,62.2634
8,0.0219,2.1686,18.1490,115.95,34573696.79,3510150.72,155902196.38,246428242.85,402330439.22,69312.10,4.81334054,0.00011382,0.00364213,0.00227633,0.06427187,0.06654820,833705761.05,62.4683
9,0.0246,2.1684,18.1129,116.17,34579941.70,3510397.58,155957284.69,246442445.32,402399730.01,69290.78,4.81186001,0.00011401,0.00364828,0.00228017,0.06416153,0.06644170,833856385.17,62.6740
10,0.0274,2.1682,18.0767,116.39,34586186.08,3510644.38,156012355.56,246456643.92,402468999.48,69269.47,4.81037999,0.00011420,0.00365445,0.00228403,0.06405137,0.06633540,834006987.98,62.8806
11,0.0301,2.1680,18.0406,116.62,34592429.95,3510891.12,156067409.01,246470838.64,402538247.65,69248.17,4.80890047,0.00011440,0.00366065,0.00228790,0.06394139,0.06622930,834157569.48,63.0881
12,0.0329,2.1678,18.0045,116.84,34598673.29,3511137.80,156122445.04,246485029.47,402607474.52,69226.87,4.80742145,0.00011459,0.00366686,0.00229179,0.06383160,0.06612339,834308129.68,63.2965
13,0.0356,2.1676,17.9683,117.06,34604916.12,3511384.41,156177463.66,246499216.44,402676680.09,69205.58,4.80594294,0.00011478,0.00367311,0.00229569,0.06372200,0.06601769,834458668.59,63.5058
14,0.0383,2.1675,17.9322,117.28,34611158.42,3511630.97,156232464.86,246513399.53,402745864.39,69184.29,4.80446492,0.00011498,0.00367938,0.00229961,0.06361258,0.06591219,834609186.22,63.7160
15,0.0411,2.1673,17.8961,117.51,34617400.20,3511877.47,156287448.67,246527578.74,402815027.41,69163.02,4.80298741,0.00011518,0.00368567,0.00230354,0.06350335,0.06580689,834759682.57,63.9271
16,0.0438,2.1671,17.8600,117.73,34623641.46,3512123.90,156342415.07,246541754.09,402884169.16,69141.75,4.80151040,0.00011537,0.00369198,0.00230749,0.06339429,0.06570178,834910157.65,64.1391
17,0.0465,2.1669,17.8239,117.95,34629882.20,3512370.28,156397364.08,246555925.56,402953289.65,69120.49,4.80003389,0.00011557,0.00369833,0.00231145,0.06328543,0.06559688,835060611.48,64.3520
18,0.0493,2.1667,17.7878,118.18,34636122.42,3512616.59,156452295.71,246570093.17,403022388.88,69099.23,4.79855789,0.00011577,0.00370469,0.00231543,0.06317674,0.06549217,835211044.04,64.5659
19,0.0520,2.1666,17.7517,118.40,34642362.12,3512862.85,156507209.95,246584256.91,403091466.87,69077.99,4.79708238,0.00011597,0.00371108,0.00231943,0.06306824,0.06538767,835361455.36,64.7806
20,0.0548,2.1664,17.7156,118.63,34648601.30,3513109.04,156562106.82,246598416.79,403160523.61,69056.75,4.79560738,0.00011617,0.00371750,0.00232344,0.06295992,0.06528336,835511845.44,64.9963
21,0.0575,2.1662,17.6795,118.85,34654839.96,3513355.17,156616986.32,246612572.81,403229559.13,69035.51,4.79413287,0.00011637,0.00372394,0.00232746,0.06285179,0.06517925,835662214.29,65.2130
22,0.0602,2.1660,17.6434,119.08,34661078.09,3513601.24,156671848.45,246626724.96,403298573.41,69014.29,4.79265887,0.00011658,0.00373041,0.00233151,0.06274383,0.06507534,835812561.91,65.4305
23,0.0630,2.1658,17.6073,119.30,34667315.71,3513847.26,156726693.22,246640873.26,403367566.48,68993.07,4.79118537,0.00011678,0.00373690,0.00233557,0.06263606,0.06497162,835962888.31,65.6491
24,0.0657,2.1657,17.5713,119.53,34673552.81,3514093.21,156781520.64,246655017.70,403436538.34,68971.86,4.78971236,0.00011698,0.00374342,0.00233964,0.06252847,0.06486811,836113193.50,65.8685
