day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1697,2.1697,114.42,34529967.48,3508420.98,155516089.69,246328715.87,401844805.57,69460.73,4.82366191,0.00095409,0.03053098,0.01908186,0.06504951,0.08413137,832650794.06,414.2123
2,0.0055,2.1694,2.1694,114.64,34536215.32,3508668.24,155571300.17,246342943.94,401914244.12,69438.55,4.82212149,0.00095392,0.03052552,0.01907845,0.06493786,0.08401631,832801565.95,414.7054
3,0.0082,2.1691,2.1691,114.86,34542462.29,3508915.42,155626493.18,246357167.31,401983660.49,69416.38,4.82058162,0.00095375,0.03052006,0.01907504,0.06482639,0.08390143,832952315.66,415.1990
4,0.0110,2.1688,2.1688,115.08,34548708.38,3509162.53,155681668.73,246371385.97,402053054.70,69394.21,4.81904230,0.00095358,0.03051460,0.01907163,0.06471511,0.08378674,833103043.20,415.6930
5,0.0137,2.1685,2.1685,115.30,34554953.59,3509409.56,155736826.82,246385599.94,402122426.75,69372.05,4.81750352,0.00095341,0.03050915,0.01906822,0.06460402,0.08367224,833253748.58,416.1874
6,0.0164,2.1682,2.1682,115.51,34561197.92,3509656.52,155791967.45,246399809.20,402191776.65,69349.90,4.81596530,0.00095324,0.03050369,0.01906481,0.06449312,0.08355793,833404431.82,416.6822
7,0.0192,2.1679,2.1679,115.73,34567441.38,3509903.40,155847090.64,246414013.78,402261104.41,69327.76,4.81442762,0.00095307,0.03049824,0.01906140,0.06438240,0.08344380,833555092.91,417.1775
8,0.0219,2.1676,2.1676,115.95,34573683.95,3510150.21,155902196.38,246428213.66,402330410.03,69305.62,4.81289049,0.00095290,0.03049278,0.01905799,0.06427187,0.08332986,833705731.86,417.6733
9,0.0246,2.1673,2.1673,116.17,34579925.66,3510396.95,155957284.69,246442408.84,402399693.53,69283.50,4.81135391,0.00095273,0.03048733,0.01905458,0.06416152,0.08321611,833856348.69,418.1694
10,0.0274,2.1670,2.1670,116.39,34586166.48,3510643.61,156012355.56,246456599.35,402468954.91,69261.38,4.80981787,0.00095256,0.03048188,0.01905118,0.06405136,0.08310254,834006943.40,418.6660
11,0.0301,2.1666,2.1666,116.62,34592406.43,3510890.19,156067409.01,246470785.16,402538194.17,69239.27,4.80828239,0.00095239,0.03047643,0.01904777,0.06394139,0.08298916,834157516.00,419.1631
12,0.0329,2.1663,2.1663,116.84,34598645.50,3511136.70,156122445.04,246484966.30,402607411.34,69217.16,4.80674744,0.00095222,0.03047099,0.01904437,0.06383160,0.08287597,834308066.50,419.6606
13,0.0356,2.1660,2.1660,117.06,34604883.69,3511383.13,156177463.66,246499142.75,402676606.41,69195.07,4.80521305,0.00095205,0.03046554,0.01904096,0.06372200,0.08276296,834458594.90,420.1585
14,0.0383,2.1657,2.1657,117.28,34611121.01,3511629.49,156232464.86,246513314.52,402745779.39,69172.98,4.80367920,0.00095188,0.03046010,0.01903756,0.06361258,0.08265014,834609101.22,420.6568
15,0.0411,2.1654,2.1654,117.51,34617357.45,3511875.78,156287448.67,246527481.62,402814930.29,69150.90,4.80214590,0.00095171,0.03045465,0.01903416,0.06350334,0.08253750,834759585.45,421.1556
16,0.0438,2.1651,2.1651,117.73,34623593.01,3512121.99,156342415.07,246541644.04,402884059.12,69128.83,4.80061315,0.00095154,0.03044921,0.01903076,0.06339429,0.08242504,834910047.61,421.6549
17,0.0465,2.1648,2.1648,117.95,34629827.70,3512368.13,156397364.08,246555801.80,402953165.88,69106.77,4.79908094,0.00095137,0.03044377,0.01902736,0.06328542,0.08231278,835060487.71,422.1545
18,0.0493,2.1645,2.1645,118.18,34636061.51,3512614.19,156452295.71,246569954.88,403022250.59,69084.71,4.79754927,0.00095120,0.03043833,0.01902396,0.06317673,0.08220069,835210905.75,422.6546
19,0.0520,2.1642,2.1642,118.40,34642294.44,3512860.18,156507209.95,246584103.30,403091313.25,69062.66,4.79601816,0.00095103,0.03043289,0.01902056,0.06306823,0.08208879,835361301.75,423.1552
20,0.0548,2.1639,2.1639,118.63,34648526.50,3513106.09,156562106.82,246598247.05,403160353.87,69040.62,4.79448758,0.00095086,0.03042746,0.01901716,0.06295991,0.08197707,835511675.70,423.6562
21,0.0575,2.1636,2.1636,118.85,34654757.69,3513351.93,156616986.32,246612386.14,403229372.46,69018.59,4.79295755,0.00095069,0.03042202,0.01901376,0.06285177,0.08186554,835662027.63,424.1576
22,0.0602,2.1633,2.1633,119.08,34660987.99,3513597.69,156671848.45,246626520.58,403298369.03,68996.56,4.79142807,0.00095052,0.03041659,0.01901037,0.06274382,0.08175418,835812357.52,424.6594
