day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1687,2.1687,114.42,34529964.54,3508420.86,155516089.69,246328709.18,401844798.87,69454.03,4.82319671,0.00095445,0.03054241,0.01908901,1.07516808,1.09425709,832650787.37,31.8584
2,0.0055,2.1673,2.1673,114.64,34536206.50,3508667.89,155571300.17,246342923.86,401914224.03,69425.16,4.82119170,0.00095464,0.03054839,0.01909274,1.07590620,1.09499894,832801545.86,31.8431
3,0.0082,2.1660,2.1660,114.86,34542444.65,3508914.72,155626493.18,246357127.15,401983620.34,69396.31,4.81918786,0.00095482,0.03055436,0.01909648,1.07664501,1.09574149,832952275.50,31.8277
4,0.0110,2.1647,2.1647,115.08,34548678.99,3509161.37,155681668.73,246371319.07,402052987.80,69367.47,4.81718518,0.00095501,0.03056034,0.01910021,1.07738454,1.09648476,833102976.30,31.8124
5,0.0137,2.1634,2.1634,115.30,34554909.51,3509407.82,155736826.82,246385499.63,402122326.45,69338.64,4.81518366,0.00095520,0.03056633,0.01910395,1.07812478,1.09722873,833253648.28,31.7970
6,0.0164,2.1621,2.1621,115.51,34561136.23,3509654.08,155791967.45,246399668.84,402191636.29,69309.84,4.81318329,0.00095538,0.03057231,0.01910770,1.07886573,1.09797342,833404291.45,31.7817
7,0.0192,2.1607,2.1607,115.73,34567359.14,3509900.15,155847090.64,246413826.70,402260917.34,69281.05,4.81118409,0.00095557,0.03057830,0.01911144,1.07960738,1.09871882,833554905.83,31.7663
8,0.0219,2.1594,2.1594,115.95,34573578.25,3510146.03,155902196.38,246427973.24,402330169.62,69252.28,4.80918605,0.00095576,0.03058430,0.01911518,1.08034975,1.09946493,833705491.45,31.7510
9,0.0246,2.1581,2.1581,116.17,34579793.56,3510391.72,155957284.69,246442108.45,402399393.14,69223.52,4.80718916,0.00095595,0.03059029,0.01911893,1.08109282,1.10021175,833856048.30,31.7357
10,0.0274,2.1568,2.1568,116.39,34586005.07,3510637.23,156012355.56,246456232.36,402468587.93,69194.79,4.80519343,0.00095613,0.03059629,0.01912268,1.08183661,1.10095929,834006576.42,31.7203
11,0.0301,2.1555,2.1555,116.62,34592212.78,3510882.54,156067409.01,246470344.98,402537753.99,69166.06,4.80319885,0.00095632,0.03060229,0.01912643,1.08258110,1.10170754,834157075.82,31.7050
12,0.0329,2.1541,2.1541,116.84,34598416.70,3511127.66,156122445.04,246484446.30,402606891.35,69137.36,4.80120542,0.00095651,0.03060830,0.01913019,1.08332631,1.10245649,834307546.51,31.6897
13,0.0356,2.1528,2.1528,117.06,34604616.83,3511372.59,156177463.66,246498536.36,402676000.02,69108.67,4.79921315,0.00095670,0.03061431,0.01913394,1.08407222,1.10320617,834457988.51,31.6744
14,0.0383,2.1515,2.1515,117.28,34610813.17,3511617.34,156232464.86,246512615.15,402745080.01,69080.00,4.79722202,0.00095689,0.03062032,0.01913770,1.08481885,1.10395655,834608401.84,31.6591
15,0.0411,2.1502,2.1502,117.51,34617005.72,3511861.89,156287448.67,246526682.69,402814131.35,69051.34,4.79523205,0.00095707,0.03062634,0.01914146,1.08556619,1.10470765,834758786.52,31.6438
16,0.0438,2.1489,2.1489,117.73,34623194.49,3512106.26,156342415.07,246540738.99,402883154.06,69022.70,4.79324323,0.00095726,0.03063236,0.01914522,1.08631424,1.10545946,834909142.55,31.6284
17,0.0465,2.1476,2.1476,117.95,34629379.47,3512350.43,156397364.08,246554784.05,402952148.14,68994.08,4.79125555,0.00095745,0.03063838,0.01914899,1.08706300,1.10621198,835059469.97,31.6131
18,0.0493,2.1463,2.1463,118.18,34635560.67,3512594.42,156452295.71,246568817.90,403021113.61,68965.47,4.78926902,0.00095764,0.03064441,0.01915275,1.08781247,1.10696522,835209768.77,31.5978
19,0.0520,2.1449,2.1449,118.40,34641738.10,3512838.22,156507209.95,246582840.54,403090050.50,68936.88,4.78728364,0.00095783,0.03065043,0.01915652,1.08856265,1.10771917,835360038.99,31.5826
20,0.0548,2.1436,2.1436,118.63,34647911.75,3513081.83,156562106.82,246596851.99,403158958.81,68908.31,4.78529940,0.00095801,0.03065647,0.01916029,1.08931355,1.10847384,835510280.64,31.5673
21,0.0575,2.1423,2.1423,118.85,34654081.63,3513325.26,156616986.32,246610852.24,403227838.56,68879.75,4.78331630,0.00095820,0.03066250,0.01916406,1.09006515,1.10922922,835660493.72,31.5520
22,0.0602,2.1410,2.1410,119.08,34660247.74,3513568.49,156671848.45,246624841.33,403296689.78,68851.21,4.78133435,0.00095839,0.03066854,0.01916784,1.09081747,1.10998531,835810678.27,31.5367
