day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1703,2.1703,114.46,34529969.19,3508217.75,155516089.69,246317021.01,401833110.70,57765.86,4.01151840,0.00079324,0.02538362,0.01586476,0.06502592,0.08089068,832639099.20,358.1751
2,0.0055,2.1706,2.1706,114.68,34536220.47,3508465.12,155571300.17,246331255.98,401902556.16,69445.45,4.82260092,0.00095349,0.03051182,0.01906989,0.06491339,0.08398328,832789877.98,414.6823
3,0.0082,2.1709,2.1709,114.90,34542472.57,3508712.49,155626493.18,246345490.15,401971983.33,69427.18,4.82133177,0.00095312,0.03049971,0.01906232,0.06480197,0.08386429,832940638.50,415.1059
4,0.0110,2.1712,2.1712,115.12,34548725.51,3508959.84,155681668.73,246359723.51,402041392.24,69408.91,4.82006301,0.00095274,0.03048761,0.01905475,0.06469073,0.08374549,833091380.74,415.5298
5,0.0137,2.1715,2.1715,115.34,34554979.29,3509207.20,155736826.82,246373956.07,402110782.88,69390.64,4.81879464,0.00095236,0.03047551,0.01904719,0.06457969,0.08362688,833242104.71,415.9540
6,0.0164,2.1717,2.1717,115.56,34561233.91,3509454.54,155791967.45,246388187.82,402180155.27,69372.38,4.81752667,0.00095198,0.03046342,0.01903964,0.06446883,0.08350846,833392810.43,416.3786
7,0.0192,2.1720,2.1720,115.78,34567489.36,3509701.88,155847090.64,246402418.76,402249509.40,69354.13,4.81625909,0.00095160,0.03045133,0.01903208,0.06435815,0.08339023,833543497.89,416.8035
8,0.0219,2.1723,2.1723,116.00,34573745.64,3509949.20,155902196.38,246416648.90,402318845.28,69335.88,4.81499190,0.00095123,0.03043925,0.01902453,0.06424766,0.08327220,833694167.11,417.2287
9,0.0246,2.1726,2.1726,116.22,34580002.77,3510196.53,155957284.69,246430878.24,402388162.92,69317.64,4.81372510,0.00095085,0.03042718,0.01901699,0.06413736,0.08315435,833844818.09,417.6543
10,0.0274,2.1729,2.1729,116.44,34586260.73,3510443.84,156012355.56,246445106.77,402457462.33,69299.41,4.81245869,0.00095047,0.03041511,0.01900944,0.06402725,0.08303669,833995450.82,418.0802
