day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1700,18.3939,114.33,34529968.36,3508421.01,155516089.69,246328717.87,401844807.57,69462.73,4.82380081,0.00011255,0.00360145,0.00225091,0.06510080,0.06735171,832650796.06,61.0336
2,0.0055,2.1700,18.3493,114.46,34536217.96,3508668.34,155571300.17,246342949.94,401914250.12,69442.55,4.82239918,0.00011279,0.00360915,0.00225572,0.06504030,0.06729602,832801571.95,61.2147
3,0.0082,2.1700,18.3048,114.59,34542467.56,3508915.63,155626493.18,246357179.30,401983672.49,69422.37,4.82099801,0.00011303,0.00361689,0.00226056,0.06497986,0.06724041,832952327.65,61.3967
4,0.0110,2.1700,18.2602,114.71,34548717.16,3509162.88,155681668.73,246371405.96,402053074.69,69402.20,4.81959728,0.00011327,0.00362466,0.00226541,0.06491946,0.06718488,833103063.19,61.5795
5,0.0137,2.1700,18.2156,114.84,34554966.76,3509410.08,155736826.82,246385629.91,402122456.73,69382.04,4.81819701,0.00011351,0.00363248,0.00227030,0.06485912,0.06712942,833253778.56,61.7633
6,0.0164,2.1700,18.1711,114.97,34561216.36,3509657.25,155791967.45,246399851.16,402191818.61,69361.88,4.81679718,0.00011376,0.00364033,0.00227521,0.06479883,0.06707404,833404473.77,61.9479
7,0.0192,2.1700,18.1265,115.10,34567465.96,3509904.38,155847090.64,246414069.70,402261160.33,69341.73,4.81539781,0.00011401,0.00364822,0.00228014,0.06473860,0.06701873,833555148.83,62.1334
8,0.0219,2.1700,18.0819,115.22,34573715.56,3510151.46,155902196.38,246428285.54,402330481.92,69321.58,4.81399888,0.00011425,0.00365615,0.00228509,0.06467841,0.06696351,833705803.75,62.3198
9,0.0246,2.1700,18.0373,115.35,34579965.16,3510398.51,155957284.69,246442498.68,402399783.36,69301.45,4.81260041,0.00011450,0.00366412,0.00229007,0.06461828,0.06690835,833856438.53,62.5071
10,0.0274,2.1700,17.9928,115.48,34586214.76,3510645.51,156012355.56,246456709.12,402469064.68,69281.31,4.81120238,0.00011475,0.00367213,0.00229508,0.06455820,0.06685328,834007053.17,62.6954
11,0.0301,2.1700,17.9482,115.61,34592464.36,3510892.48,156067409.01,246470916.85,402538325.87,69261.19,4.80980480,0.00011501,0.00368018,0.00230011,0.06449817,0.06679828,834157647.70,62.8845
12,0.0329,2.1700,17.9036,115.74,34598713.96,3511139.40,156122445.04,246485121.90,402607566.94,69241.07,4.80840767,0.00011526,0.00368827,0.00230517,0.06443820,0.06674336,834308222.10,63.0746
13,0.0356,2.1700,17.8591,115.87,34604963.56,3511386.29,156177463.66,246499324.24,402676787.90,69220.96,4.80701100,0.00011551,0.00369640,0.00231025,0.06437827,0.06668852,834458776.39,63.2657
14,0.0383,2.1700,17.8145,116.00,34611213.16,3511633.13,156232464.86,246513523.88,402745988.75,69200.85,4.80561477,0.00011577,0.00370457,0.00231536,0.06431840,0.06663376,834609310.58,63.4577
15,0.0411,2.1700,17.7699,116.12,34617462.76,3511879.94,156287448.67,246527720.83,402815169.50,69180.75,4.80421898,0.00011602,0.00371279,0.00232049,0.06425858,0.06657907,834759824.66,63.6506
16,0.0438,2.1700,17.7254,116.25,34623712.36,3512126.70,156342415.07,246541915.09,402884330.16,69160.66,4.80282365,0.00011628,0.00372104,0.00232565,0.06419881,0.06652447,834910318.66,63.8445
17,0.0465,2.1700,17.6808,116.38,34629961.96,3512373.43,156397364.08,246556106.65,402953470.74,69140.57,4.80142876,0.00011654,0.00372934,0.00233084,0.06413910,0.06646994,835060792.57,64.0393
18,0.0493,2.1700,17.6362,116.51,34636211.56,3512620.11,156452295.71,246570295.52,403022591.23,69120.49,4.80003433,0.00011680,0.00373768,0.00233605,0.06407944,0.06641548,835211246.39,64.2351
19,0.0520,2.1700,17.5916,116.64,34642461.16,3512866.75,156507209.95,246584481.70,403091691.65,69100.42,4.79864034,0.00011706,0.00374606,0.00234129,0.06401982,0.06636111,835361680.15,64.4319
20,0.0548,2.1700,17.5471,116.77,34648710.76,3513113.36,156562106.82,246598665.18,403160772.01,69080.35,4.79724680,0.00011733,0.00375448,0.00234655,0.06396026,0.06630682,835512093.84,64.6297
21,0.0575,2.1700,17.5025,116.90,34654960.36,3513359.92,156616986.32,246612845.98,403229832.30,69060.29,4.79585370,0.00011759,0.00376295,0.00235184,0.06390076,0.06625260,835662487.46,64.8285
22,0.0602,2.1700,17.4579,117.03,34661209.96,3513606.45,156671848.45,246627024.09,403298872.54,69040.24,4.79446106,0.00011786,0.00377146,0.00235716,0.06384130,0.06619847,835812861.03,65.0283
23,0.0630,2.1700,17.4134,117.16,34667459.56,3513852.93,156726693.22,246641199.51,403367892.73,69020.19,4.79306886,0.00011813,0.00378002,0.00236251,0.06378190,0.06614441,835963214.56,65.2290
24,0.0657,2.1700,17.3688,117.29,34673709.16,3514099.37,156781520.64,246655372.24,403436892.88,69000.15,4.79167711,0.00011839,0.00378862,0.00236789,0.06372254,0.06609043,836113548.04,65.4308
