day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1706,18.3987,114.33,34529969.99,3508421.08,155516089.69,246328721.59,401844811.29,69466.45,4.82405894,0.00011252,0.00360070,0.00225044,0.16693437,0.16918481,832650799.78,24.2922
2,0.0055,2.1711,18.3589,114.46,34536222.86,3508668.54,155571300.17,246342961.09,401914261.27,69449.98,4.82291537,0.00011274,0.00360765,0.00225478,0.16717708,0.16943187,832801583.10,24.3036
3,0.0082,2.1717,18.3191,114.59,34542477.35,3508916.02,155626493.18,246357201.60,401983694.79,69433.52,4.82177218,0.00011296,0.00361464,0.00225915,0.16742122,0.16968037,832952349.95,24.3149
4,0.0110,2.1723,18.2793,114.71,34548733.48,3509163.52,155681668.73,246371443.12,402053111.85,69417.06,4.82062935,0.00011318,0.00362165,0.00226353,0.16766678,0.16993032,833103100.35,24.3263
5,0.0137,2.1728,18.2394,114.84,34554991.25,3509411.05,155736826.82,246385685.64,402122512.46,69400.61,4.81948689,0.00011340,0.00362871,0.00226794,0.16791379,0.17018173,833253834.29,24.3377
6,0.0164,2.1734,18.1996,114.97,34561250.65,3509658.61,155791967.45,246399929.18,402191896.63,69384.17,4.81834480,0.00011362,0.00363580,0.00227237,0.16816224,0.17043462,833404551.79,24.3491
7,0.0192,2.1740,18.1597,115.10,34567511.68,3509906.18,155847090.64,246414173.71,402261264.35,69367.72,4.81720309,0.00011384,0.00364292,0.00227683,0.16841216,0.17068899,833555252.85,24.3604
8,0.0219,2.1745,18.1197,115.22,34573774.35,3510153.79,155902196.38,246428419.26,402330615.64,69351.29,4.81606174,0.00011407,0.00365008,0.00228130,0.16866355,0.17094485,833705937.47,24.3718
9,0.0246,2.1751,18.0798,115.35,34580038.66,3510401.41,155957284.69,246442665.81,402399950.50,69334.86,4.81492076,0.00011429,0.00365728,0.00228580,0.16891641,0.17120222,833856605.66,24.3831
10,0.0274,2.1757,18.0398,115.48,34586304.60,3510649.06,156012355.56,246456913.37,402469268.93,69318.43,4.81378015,0.00011452,0.00366452,0.00229032,0.16917078,0.17146110,834007257.43,24.3945
11,0.0301,2.1762,17.9998,115.61,34592572.17,3510896.74,156067409.01,246471161.94,402538570.95,69302.01,4.81263992,0.00011474,0.00367179,0.00229487,0.16942664,0.17172151,834157892.78,24.4058
