day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1697,18.3913,114.46,34529967.48,3508217.68,155516089.69,246317017.10,401833106.80,57761.96,4.01124739,0.00009360,0.00299522,0.00187201,0.06502592,0.06689793,832639095.30,51.1042
2,0.0055,2.1694,18.3442,114.68,34536215.32,3508464.92,155571300.17,246331244.28,401902544.45,69437.65,4.82205906,0.00011281,0.00360991,0.00225619,0.06491339,0.06716959,832789866.28,61.3429
3,0.0082,2.1691,18.2971,114.90,34542462.29,3508712.08,155626493.18,246345466.74,401971959.93,69415.48,4.82051921,0.00011306,0.00361805,0.00226128,0.06480197,0.06706325,832940615.09,61.5787
4,0.0110,2.1688,18.2499,115.12,34548708.38,3508959.17,155681668.73,246359684.51,402041353.24,69393.31,4.81897991,0.00011332,0.00362624,0.00226640,0.06469073,0.06695713,833091341.73,61.8158
5,0.0137,2.1685,18.2028,115.34,34554953.59,3509206.18,155736826.82,246373897.57,402110724.39,69371.15,4.81744115,0.00011358,0.00363446,0.00227154,0.06457968,0.06685122,833242046.22,62.0541
6,0.0164,2.1682,18.1557,115.56,34561197.92,3509453.12,155791967.45,246388105.94,402180073.39,69349.00,4.81590295,0.00011384,0.00364272,0.00227670,0.06446882,0.06674552,833392728.56,62.2937
7,0.0192,2.1679,18.1087,115.78,34567441.38,3509699.98,155847090.64,246402309.62,402249400.25,69326.86,4.81436529,0.00011409,0.00365103,0.00228189,0.06435814,0.06664004,833543388.75,62.5346
8,0.0219,2.1676,18.0616,116.00,34573683.95,3509946.77,155902196.38,246416508.60,402318704.98,69304.73,4.81282818,0.00011436,0.00365937,0.00228711,0.06424765,0.06653476,833694026.81,62.7767
9,0.0246,2.1673,18.0146,116.22,34579925.66,3510193.48,155957284.69,246430702.89,402387987.58,69282.60,4.81129162,0.00011462,0.00366776,0.00229235,0.06413735,0.06642970,833844642.74,63.0201
10,0.0274,2.1670,17.9675,116.44,34586166.48,3510440.12,156012355.56,246444892.50,402457248.06,69260.48,4.80975561,0.00011488,0.00367619,0.00229762,0.06402723,0.06632485,833995236.55,63.2647
11,0.0301,2.1666,17.9205,116.66,34592406.43,3510686.68,156067409.01,246459077.42,402526486.43,69238.37,4.80822014,0.00011515,0.00368466,0.00230291,0.06391730,0.06622021,834145808.26,63.5107
12,0.0329,2.1663,17.8735,116.88,34598645.50,3510933.17,156122445.04,246473257.65,402595702.70,69216.27,4.80668522,0.00011541,0.00369317,0.00230823,0.06380755,0.06611578,834296357.86,63.7580
13,0.0356,2.1660,17.8265,117.10,34604883.69,3511179.58,156177463.66,246487433.21,402664896.87,69194.17,4.80515085,0.00011568,0.00370173,0.00231358,0.06369799,0.06601157,834446885.36,64.0066
14,0.0383,2.1657,17.7795,117.33,34611121.01,3511425.92,156232464.86,246501604.09,402734068.95,69172.09,4.80361703,0.00011595,0.00371032,0.00231895,0.06358861,0.06590756,834597390.78,64.2565
15,0.0411,2.1654,17.7325,117.55,34617357.45,3511672.18,156287448.67,246515770.29,402803218.96,69150.01,4.80208375,0.00011622,0.00371897,0.00232435,0.06347941,0.06580377,834747874.12,64.5077
16,0.0438,2.1651,17.6855,117.77,34623593.01,3511918.37,156342415.07,246529931.82,402872346.89,69127.93,4.80055101,0.00011649,0.00372765,0.00232978,0.06337040,0.06570019,834898335.39,64.7603
17,0.0465,2.1648,17.6386,118.00,34629827.70,3512164.49,156397364.08,246544088.68,402941452.76,69105.87,4.79901883,0.00011676,0.00373638,0.00233524,0.06326158,0.06559681,835048774.59,65.0143
18,0.0493,2.1645,17.5917,118.22,34636061.51,3512410.53,156452295.71,246558240.87,403010536.58,69083.82,4.79748718,0.00011704,0.00374515,0.00234072,0.06315293,0.06549365,835199191.74,65.2696
19,0.0520,2.1642,17.5447,118.44,34642294.44,3512656.50,156507209.95,246572388.39,403079598.35,69061.77,4.79595609,0.00011731,0.00375397,0.00234623,0.06304447,0.06539070,835349586.84,65.5263
20,0.0548,2.1639,17.4978,118.67,34648526.50,3512902.39,156562106.82,246586531.25,403148638.08,69039.73,4.79442553,0.00011759,0.00376284,0.00235177,0.06293619,0.06528796,835499959.91,65.7843
21,0.0575,2.1636,17.4509,118.90,34654757.69,3513148.21,156616986.32,246600669.45,403217655.77,69017.70,4.79289553,0.00011787,0.00377174,0.00235734,0.06282809,0.06518543,835650310.93,66.0438
22,0.0602,2.1633,17.4040,119.12,34660987.99,3513393.95,156671848.45,246614802.99,403286651.44,68995.67,4.79136606,0.00011815,0.00378070,0.00236294,0.06272018,0.06508312,835800639.94,66.3046
23,0.0630,2.1630,17.3572,119.35,34667217.43,3513639.62,156726693.22,246628931.87,403355625.10,68973.65,4.78983715,0.00011843,0.00378970,0.00236856,0.06261245,0.06498101,835950946.93,66.5669
24,0.0657,2.1627,17.3103,119.57,34673445.99,3513885.21,156781520.64,246643056.10,403424576.74,68951.65,4.78830877,0.00011871,0.00379874,0.00237422,0.06250489,0.06487911,836101231.91,66.8306
25,0.0684,2.1624,17.2635,119.80,34679673.67,3514130.73,156836330.71,246657175.68,403493506.39,68929.65,4.78678094,0.00011899,0.00380784,0.00237990,0.06239752,0.06477742,836251494.89,67.0958
