day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1697,18.4359,114.46,34529967.48,3508217.68,155516089.69,246317017.10,401833106.80,57761.96,4.01124739,0.00009337,0.00298798,0.00186749,0.06502592,0.06689341,832639095.30,50.9841
2,0.0055,2.1694,18.4333,114.68,34536215.32,3508464.92,155571300.17,246331244.28,401902544.45,69437.65,4.82205906,0.00011226,0.00359246,0.00224529,0.06491339,0.06715868,832789866.28,61.0562
3,0.0082,2.1691,18.4307,114.90,34542462.29,3508712.08,155626493.18,246345466.74,401971959.93,69415.48,4.82051921,0.00011224,0.00359182,0.00224489,0.06480197,0.06704685,832940615.09,61.1471
4,0.0110,2.1688,18.4281,115.12,34548708.38,3508959.17,155681668.73,246359684.51,402041353.24,69393.31,4.81897991,0.00011222,0.00359117,0.00224448,0.06469073,0.06693522,833091341.73,61.2381
5,0.0137,2.1685,18.4255,115.34,34554953.59,3509206.18,155736826.82,246373897.57,402110724.39,69371.15,4.81744115,0.00011220,0.00359053,0.00224408,0.06457968,0.06682377,833242046.22,61.3293
6,0.0164,2.1682,18.4229,115.56,34561197.92,3509453.12,155791967.45,246388105.94,402180073.39,69349.00,4.81590295,0.00011218,0.00358989,0.00224368,0.06446882,0.06671250,833392728.56,61.4206
7,0.0192,2.1679,18.4204,115.78,34567441.38,3509699.98,155847090.64,246402309.62,402249400.25,69326.86,4.81436529,0.00011216,0.00358925,0.00224328,0.06435814,0.06660142,833543388.75,61.5121
8,0.0219,2.1676,18.4178,116.00,34573683.95,3509946.77,155902196.38,246416508.60,402318704.98,69304.73,4.81282818,0.00011214,0.00358861,0.00224288,0.06424765,0.06649053,833694026.81,61.6036
9,0.0246,2.1673,18.4152,116.22,34579925.66,3510193.48,155957284.69,246430702.89,402387987.58,69282.60,4.81129162,0.00011212,0.00358796,0.00224248,0.06413735,0.06637983,833844642.74,61.6953
10,0.0274,2.1670,18.4126,116.44,34586166.48,3510440.12,156012355.56,246444892.50,402457248.06,69260.48,4.80975561,0.00011210,0.00358732,0.00224208,0.06402723,0.06626931,833995236.55,61.7872
11,0.0301,2.1666,18.4100,116.66,34592406.43,3510686.68,156067409.01,246459077.42,402526486.43,69238.37,4.80822014,0.00011208,0.00358668,0.00224168,0.06391730,0.06615898,834145808.26,61.8792
12,0.0329,2.1663,18.4074,116.88,34598645.50,3510933.17,156122445.04,246473257.65,402595702.70,69216.27,4.80668522,0.00011206,0.00358604,0.00224128,0.06380755,0.06604883,834296357.86,61.9713
13,0.0356,2.1660,18.4048,117.10,34604883.69,3511179.58,156177463.66,246487433.21,402664896.87,69194.17,4.80515085,0.00011204,0.00358540,0.00224088,0.06369799,0.06593886,834446885.36,62.0635
14,0.0383,2.1657,18.4022,117.33,34611121.01,3511425.92,156232464.86,246501604.09,402734068.95,69172.09,4.80361703,0.00011202,0.00358476,0.00224047,0.06358861,0.06582908,834597390.78,62.1559
