month,scenario,total_rbp_eib,total_qap_eib,cc_qap_eib,verified_qap_eib,cc_reward_per_eib_day,verified_reward_per_eib_day,cc_pledge_per_sector,new_cc_pledge,reward_ratio_cc_vs_current,total_qap_share_cc,total_qap_share_verified,effective_multiplier
0,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
1,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
2,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
3,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
4,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
5,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
6,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
7,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
8,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
9,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
10,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
11,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
12,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
13,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
